"pickup_zone","dropoff_zone","time_interval","pickup_lon","pickup_lat","dropoff_lon","dropoff_lat","n"
"Far Rockaway","Far Rockaway",18,-73.7448437,40.5998931,-73.7448437,40.5998931,20450
"Far Rockaway","Far Rockaway",20,-73.7448437,40.5998931,-73.7448437,40.5998931,18540
"Far Rockaway","Far Rockaway",22,-73.7448437,40.5998931,-73.7448437,40.5998931,17770
"Far Rockaway","Far Rockaway",14,-73.7448437,40.5998931,-73.7448437,40.5998931,17340
"Garment District","Midtown Center",6,-73.9916342,40.7547072,-73.9784137,40.7553676,17330
"Far Rockaway","Far Rockaway",12,-73.7448437,40.5998931,-73.7448437,40.5998931,16600
"Far Rockaway","Far Rockaway",16,-73.7448437,40.5998931,-73.7448437,40.5998931,16230
"Far Rockaway","Far Rockaway",10,-73.7448437,40.5998931,-73.7448437,40.5998931,14510
"Far Rockaway","Far Rockaway",8,-73.7448437,40.5998931,-73.7448437,40.5998931,13620
"Lincoln Square East","Upper West Side North",18,-73.9844722,40.773828,-73.9753676,40.7870106,13090
"Upper East Side North","Yorkville East",18,-73.9565551,40.7735649,-73.9492079,40.7762231,12790
"Upper East Side North","Yorkville East",14,-73.9565551,40.7735649,-73.9492079,40.7762231,12560
"Upper East Side North","Upper East Side North",14,-73.9565551,40.7735649,-73.9565551,40.7735649,12070
"Garment District","Times Sq/Theatre District",6,-73.9916342,40.7547072,-73.9841274,40.7592686,11830
"Upper East Side North","Yorkville East",16,-73.9565551,40.7735649,-73.9492079,40.7762231,11570
"Upper East Side North","Upper East Side North",12,-73.9565551,40.7735649,-73.9565551,40.7735649,11520
"Far Rockaway","Far Rockaway",0,-73.7448437,40.5998931,-73.7448437,40.5998931,11450
"Yorkville East","Upper East Side North",10,-73.9492079,40.7762231,-73.9565551,40.7735649,11170
"Lincoln Square East","Upper West Side North",16,-73.9844722,40.773828,-73.9753676,40.7870106,10880
"Yorkville East","Upper East Side North",14,-73.9492079,40.7762231,-73.9565551,40.7735649,10850
"Yorkville East","Upper East Side North",18,-73.9492079,40.7762231,-73.9565551,40.7735649,10840
"Lincoln Square East","Upper West Side North",14,-73.9844722,40.773828,-73.9753676,40.7870106,10790
"Lenox Hill East","Upper East Side North",18,-73.9602312,40.7662315,-73.9565551,40.7735649,10710
"Yorkville East","Upper East Side North",12,-73.9492079,40.7762231,-73.9565551,40.7735649,10570
"Upper East Side North","Upper East Side North",18,-73.9565551,40.7735649,-73.9565551,40.7735649,10530
"Upper East Side North","Lenox Hill East",14,-73.9565551,40.7735649,-73.9602312,40.7662315,10490
"Upper East Side North","Upper East Side North",16,-73.9565551,40.7735649,-73.9565551,40.7735649,10470
"Lincoln Square East","Lincoln Square East",18,-73.9844722,40.773828,-73.9844722,40.773828,10330
"Upper East Side North","Upper East Side North",10,-73.9565551,40.7735649,-73.9565551,40.7735649,10210
"Yorkville East","Upper East Side North",16,-73.9492079,40.7762231,-73.9565551,40.7735649,10150
"Upper West Side North","Lincoln Square East",18,-73.9753676,40.7870106,-73.9844722,40.773828,10110
"Lenox Hill East","Upper East Side North",14,-73.9602312,40.7662315,-73.9565551,40.7735649,10000
"Lincoln Square East","Upper West Side North",12,-73.9844722,40.773828,-73.9753676,40.7870106,10000
"Upper East Side North","Lenox Hill East",12,-73.9565551,40.7735649,-73.9602312,40.7662315,9860
"Upper East Side North","Yorkville East",12,-73.9565551,40.7735649,-73.9492079,40.7762231,9830
"Lenox Hill East","Upper East Side North",16,-73.9602312,40.7662315,-73.9565551,40.7735649,9820
"Garment District","Midtown Center",8,-73.9916342,40.7547072,-73.9784137,40.7553676,9810
"Lincoln Square East","Upper West Side North",20,-73.9844722,40.773828,-73.9753676,40.7870106,9680
"Upper West Side North","Lincoln Square East",14,-73.9753676,40.7870106,-73.9844722,40.773828,9670
"Garment District","Times Sq/Theatre District",12,-73.9916342,40.7547072,-73.9841274,40.7592686,9500
"Far Rockaway","Far Rockaway",6,-73.7448437,40.5998931,-73.7448437,40.5998931,9450
"Yorkville East","Upper East Side North",8,-73.9492079,40.7762231,-73.9565551,40.7735649,9410
"Lenox Hill East","Upper East Side North",10,-73.9602312,40.7662315,-73.9565551,40.7735649,9230
"Upper West Side North","Lincoln Square East",12,-73.9753676,40.7870106,-73.9844722,40.773828,9180
"Lenox Hill East","Upper East Side North",12,-73.9602312,40.7662315,-73.9565551,40.7735649,9160
"Upper East Side North","Yorkville East",20,-73.9565551,40.7735649,-73.9492079,40.7762231,9150
"Upper East Side North","Lenox Hill East",10,-73.9565551,40.7735649,-73.9602312,40.7662315,9080
"Upper West Side North","Lincoln Square East",16,-73.9753676,40.7870106,-73.9844722,40.773828,9050
"Upper East Side North","Lenox Hill East",16,-73.9565551,40.7735649,-73.9602312,40.7662315,9000
"Upper East Side North","Midtown Center",8,-73.9565551,40.7735649,-73.9784137,40.7553676,8970
"Yorkville East","Yorkville East",18,-73.9492079,40.7762231,-73.9492079,40.7762231,8860
"Upper East Side North","Upper East Side North",8,-73.9565551,40.7735649,-73.9565551,40.7735649,8790
"Lenox Hill East","Upper East Side North",8,-73.9602312,40.7662315,-73.9565551,40.7735649,8750
"Upper East Side North","Lenox Hill East",18,-73.9565551,40.7735649,-73.9602312,40.7662315,8710
"Times Sq/Theatre District","Lincoln Square East",18,-73.9841274,40.7592686,-73.9844722,40.773828,8590
"Lincoln Square East","Lincoln Square East",14,-73.9844722,40.773828,-73.9844722,40.773828,8580
"Garment District","Times Sq/Theatre District",10,-73.9916342,40.7547072,-73.9841274,40.7592686,8550
"Lincoln Square East","Lincoln Square East",16,-73.9844722,40.773828,-73.9844722,40.773828,8540
"Yorkville East","Yorkville East",16,-73.9492079,40.7762231,-73.9492079,40.7762231,8530
"Upper West Side North","Upper West Side North",14,-73.9753676,40.7870106,-73.9753676,40.7870106,8480
"Upper West Side North","Upper West Side North",18,-73.9753676,40.7870106,-73.9753676,40.7870106,8480
"Lenox Hill East","Midtown Center",8,-73.9602312,40.7662315,-73.9784137,40.7553676,8470
"Upper East Side North","Yorkville East",10,-73.9565551,40.7735649,-73.9492079,40.7762231,8330
"Upper West Side North","Upper West Side North",16,-73.9753676,40.7870106,-73.9753676,40.7870106,8290
"Lincoln Square East","Lincoln Square East",12,-73.9844722,40.773828,-73.9844722,40.773828,8280
"Lenox Hill East","Yorkville East",18,-73.9602312,40.7662315,-73.9492079,40.7762231,8250
